cfly{s jif{,lgof{t,lgof{t,cfoft,cfoft,hDdf Jofkf/,hDdf Jofkf/
 ----,ef/t,cGo d'n's,ef/t,cGo d'n's,ef/t,cGo d'n's
@)%%.%^,#%=!,^$=(,#^=&,^#=#,#^=@,^#=*
@)%^.%&,$@=^,%&=$,#^=^,^#=$,#*=%,%*=$
@)%&.%*,$^=*,%#=@,#(=!,^)=(,$!=^,%*=$
@)%*.%(,%(=^,$)=$,%(=^,$)=$,%$=*,$%=@
@)%(.^),%@=(,$&=!,%@=(,$&=!,%%=(,$$=!
@)^).^!,%&=!,$@=(,%&=*,$@=@,%&=^,$@=$
@)^!.^@,^^=#,##=&,%(=#,$)=&,^!=#,#*=&
@)^@.^#,^&=^,#@=$,^!=&,#*=#,^#=@,#^=*
@)^#.^$,&)=#,@(=&,%(=%,$)=%,^@=),#*=)
@)^$.^%,^%=!,#$=(,^$=@,#%=*,^$=#,#%=&
@)^%.^^,^)=^,#(=$,%&=!,$@=(,%&=*,$@=@
